index,price
171,32.209
172,32.208
173,32.199
174,32.182
175,32.15
176,32.193
177,32.185
178,30.61
179,32.193
180,32.193
181,30.768
182,31.992
183,31.417
184,31.408
185,31.402
186,30.637
187,31.999
188,31.999
189,32.19
190,32.23
191,32.4
192,32.4
193,32.926
194,32.92
195,32.714
196,32.985
197,33.412
198,33.7
199,33.301
200,33.302
201,33.696
202,28.952977
203,28.001
204,30.005
205,29.19
206,29.189
207,26.19190442
208,26.19190442
209,20.0
210,17.00554941
211,7.75966321
212,7.53
213,8.0
214,13.195
215,13.0
216,13.30154142
217,15.01040783
218,13.123
219,15.0179459
220,13.141
221,11.28204907
222,13.0
223,13.1450499
224,13.50871392
225,13.50871392
226,13.0
227,12.993
228,13.0
229,12.0
230,12.0
231,14.994
232,14.996
233,13.1
234,15.002
235,13.11745946
236,10.17058816
237,10.17058816
238,10.17058816
239,10.17058816
240,14.147
241,14.96980567
242,14.971
243,15.0
244,15.006101
245,15.02
246,16.99857545
247,17.00554941
248,17.60457025
249,17.60457025
250,17.60457025
251,17.60457025
252,17.77111891
253,19.4
254,19.98333358
255,21.44052293
256,24.9
257,24.9
258,24.9
259,24.9
260,24.9
261,24.9
262,24.998
263,25.0
264,24.999
265,24.998
266,25.59837113
267,25.0
268,26.0
269,26.19190442
270,27.11674239
271,27.11674239
272,27.11674239
273,25.0
274,26.592
275,27.1
276,27.233
277,26.96
278,26.601
279,26.694
280,27.0
281,26.607
282,26.657
283,26.652
284,26.658
285,26.381
286,26.653
287,25.999
288,26.5
289,25.994
290,25.994
291,25.998
292,27.0
293,26.76
294,26.761
295,27.862
296,27.001
297,28.0
298,28.28
299,28.279
300,28.28
301,28.28
302,29.78
303,29.78
304,29.78
305,28.943
306,28.942
307,28.942
308,28.942
309,28.942
310,28.943
311,28.943
312,28.942
313,28.942
314,28.288
315,28.293
316,28.293
317,28.941
318,28.943
319,28.943
320,28.722
321,28.942
322,28.942
323,28.942
324,28.941
325,28.9
326,28.77
327,28.874
328,28.874
329,28.873
330,28.874
331,28.694
332,28.694
333,28.7
334,28.506
335,28.693
336,28.693
337,28.693
338,28.642
339,28.69
340,28.693
341,28.4
342,28.5
343,28.7
344,29.75
345,29.748
346,30.0
347,30.572
348,31.43
349,31.424
350,30.519
351,31.43
352,31.43
353,31.867
